C,Scientific Name,Common Name,Family,native
3,Eleocharis interstincta,Knotted Spikerush,Cyperaceae,native
5,Eleocharis microcarpa,Smallfruit Spikerush,Cyperaceae,native
5,Eleocharis montevidensis,Sand Spikerush,Cyperaceae,native
2,Eleocharis vivipara,Viviparous Spikerush,Cyperaceae,native
7,Elephantopus elatus,Tall Elephantsfoot,Asteraceae,native
10,Eltroplectris calcarata,Longclaw Orchid; Spurred Neottia,Orchidaceae,native
9,Elytraria caroliniensis,Carolina Scalystem,Acanthaceae,native
8,Elytraria caroliniensis var. angustifolia,Carolina Scalystem,Acanthaceae,native
4,Encyclia tampensis,Florida Butterfly Orchid,Orchidaceae,native
10,Epidendrum anceps,Dingy-Flowered Star Orchid,Orchidaceae,native
10,Epidendrum blancheanum,Acuna's Star Orchid,Orchidaceae,native
10,Epidendrum floridense,Umbrella Star Orchid; Umbelled Epidendrum,Orchidaceae,native
10,Epidendrum nocturnum,Night-Scented Epidendrum,Orchidaceae,native
10,Epidendrum rigidum,Stiff-Flower Star Orchid; Rigid Epidendrum,Orchidaceae,native
10,Epidendrum strobiliferum,Big Cypress Star Orchid; Matted Epidendrum,Orchidaceae,native
0,Equisetum hyemale var. affine,Scouring-Rush,Equisetaceae,native
2,Eragrostis elliottii,Elliott's Lovegrass,Poaceae,native
8,Eragrostis hypnoides,Teal Lovegrass,Poaceae,native
1,Eragrostis pectinacea var. tracyi,Sanibel Island Lovegrass,Asteraceae,native
0,Eragrostis secundiflora subsp. oxylepis,Red Lovegrass,Poaceae,native
2,Eragrostis spectabilis,Purple Lovegrass,Poaceae,native
4,Eragrostis virginica,Coastal Lovegrass,Poaceae,native
3,Erechtites hieraciifolius,American Burnweed; Fireweed,Asteraceae,native
3,Erigeron quercifolius,Oakleaf Fleabane,Asteraceae,native
5,Erigeron vernus,Early Whitetop Fleabane,Asteraceae,native
8,Eriocaulon compressum,Flattened Pipewort,Eriocaulaceae,native
8,Eriocaulon decangulare,Tenangle Pipewort,Eriocaulaceae,native
9,Eriocaulon ravenelii,Ravenel's Pipewort,Eriocaulaceae,native
8,Eriochloa michauxii,Michaux's Cupgrass,Poaceae,native
8,Eriochloa michauxii var. simpsonii,Simpson's Cupgrass,Poaceae,native
7,Erithalis fruticosa,Blacktorch,Rubiaceae,native
10,Ernodea cokeri,Coker's Beach Creeper; One-Nerved Ernodea,Rubiaceae,native
7,Ernodea littoralis,Beach Creeper; Coughbush,Rubiaceae,native
8,Eryngium aromaticum,Fragrant Eryngo,Apiaceae,native
8,Eryngium baldwinii,Baldwin's Eryngo,Apiaceae,native
8,Eryngium yuccifolium,Button Rattlesnakemaster; Button Eryngo,Apiaceae,native
7,Erythrina herbacea,Coralbean; Cherokee Bean,Fabaceae,native
9,Eugenia axillaris,White Stopper,Myrtaceae,native
10,Eugenia confusa,Redberry Stopper; Redberry Eugenia,Myrtaceae,native
8,Eugenia foetida,Spanish Stopper; Boxleaf Stopper,Myrtaceae,native
10,Eugenia rhombea,Red Stopper,Myrtaceae,native
4,Eulophia alta,Wild Coco,Orchidaceae,native
1,Eupatorium capillifolium,Dogfennel,Poaceae,native
8,Eupatorium compositifolium,Yankeeweed,Asteraceae,native
8,Eupatorium leptophyllum,Falsefennel,Asteraceae,native
8,Eupatorium mikanioides,Semaphore Thoroughwort,Asteraceae,native
7,Eupatorium mohrii,Mohr's Thoroughwort,Asteraceae,native
4,Eupatorium rotundifolium,Roundleaf Thoroughwort; False Horehound,Asteraceae,native
3,Eupatorium serotinum,Lateflowering Thoroughwort,Asteraceae,native
3,Euphorbia inundata var. garrettii,,Euphorbiaceae,native
7,Euphorbia polyphylla,Lesser Florida Spurge,Euphorbiaceae,native
4,Euphorbia trichotoma,Sanddune Spurge,Euphorbiaceae,native
5,Eustachys glauca,Saltmarsh Fingergrass,Poaceae,native
2,Eustachys petraea,Pinewoods Fingergrass,Poaceae,native
4,Eustoma exaltatum,Marshgentian; Catchfly Prairie-Gentian,Gentianaceae,native
5,Euthamia caroliniana,Slender Flattop Goldenrod,Asteraceae,native
0,Evolvulus alsinoides,Slender Dwarf Morning-Glory,Convolvulaceae,native
7,Evolvulus sericeus,Silver Dwarf Morning-Glory,Convolvulaceae,native
8,Exostema caribaeum,Caribbean Princewood,Rubiaceae,native
9,Exothea paniculata,Inkwood; Butterbough,Sapindaceae,native
2,Ficus aurea,Strangler Fig; Golden Fig,Moraceae,native
4,Ficus citrifolia,Wild Banyan Tree,Moraceae,native
4,Fimbristylis autumnalis,Slender Fimbry,Cyperaceae,native
4,Fimbristylis caroliniana,Carolina Fimbry,Cyperaceae,native
2,Fimbristylis cymosa,Hurricanegrass,Cyperaceae,native
1,Fimbristylis dichotoma,Forked Fimbry,Asteraceae,native
7,Fimbristylis puberula,Hairy Fimbry,Cyperaceae,native
8,Fimbristylis spadicea,Marsh Fimbry,Cyperaceae,native
4,Flaveria floridana,Florida Yellowtops,Asteraceae,native
4,Flaveria linearis,Narrowleaf Yellowtops,Asteraceae,native
0,Flaveria trinervia,Clustered Yellowtops,Asteraceae,native
8,Forestiera pinetorum,,Oleaceae,native
4,Forestiera segregata,Florida Swampprivet,Oleaceae,native
7,Fraxinus caroliniana,Carolina Ash; Water Ash; Pop Ash,Oleaceae,native
3,Froelichia floridana,Cottonweed; Plains Snakecotton,Amaranthaceae,native
4,Fuirena breviseta,Saltmarsh Umbrellasedge,Cyperaceae,native
4,Fuirena pumila,Dwarf Umbrellasedge,Cyperaceae,native
5,Fuirena scirpoidea,Southern Umbrellasedge,Cyperaceae,native
7,Galactia elliottii,Elliott's Milkpea,Fabaceae,native
7,Galactia regularis,Eastern Milkpea,Fabaceae,native
7,Galactia striata,Florida Hammock Milkpea,Fabaceae,native
4,Galactia volubilis,Downy Milkpea,Fabaceae,native
10,Galeandra bicarinata,Two-Keeled Hooded Orchid; Helmet Orchid,Orchidaceae,native
4,Galium hispidulum,Coastal Bedstraw,Rubiaceae,native
4,Galium tinctorium,Stiff Marsh Bedstraw,Rubiaceae,native
0,Gamochaeta americana,American Everlasting,Asteraceae,native
2,Gamochaeta falcata,Narrow Leaf Purple Everlasting,Asteraceae,native
1,Gamochaeta purpurea,Spoonleaf Purple Everlasting,Cyperaceae,native
1,Gaura angustifolia,Southern Beeblossom,Asteraceae,native
8,Gaylussacia dumosa,Dwarf Huckleberry,Ericaceae,native
8,Gelsemium sempervirens,Yellow Jessamine; Carolina Jessamine,Gelsemiaceae,native
8,Genipa clusiifolia,Sevenyear Apple,Rubiaceae,native
0,Geranium carolinianum,Carolina Cranesbill,Geraniaceae,native
10,Glandularia maritima,Coastal Mock Vervain,Verbenaceae,native
9,Glandularia tampensis,Tampa Mock Vervain,Verbenaceae,native
9,Gordonia lasianthus,Loblolly Bay,Theaceae,native
7,Gossypium hirsutum,Upland Cotton; Wild Cotton,Malvaceae,native
8,Gouania lupuloides,Chewstick; Whiteroot,Rhamnaceae,native
10,Govenia floridana,Florida Govenia; Gowen's Orchid,Orchidaceae,native
7,Gratiola hispida,Rough Hedgehyssop,Veronicaceae,native
7,Gratiola pilosa,Shaggy Hedgehyssop,Veronicaceae,native
7,Gratiola ramosa,Branched Hedgehyssop,Veronicaceae,native
10,Guajacum sanctum,Holywood Lignumvitae,Zygophyllaceae,native
8,Guapira discolor,Beeftree; Blolly,Nyctaginaceae,native
9,Guettarda elliptica,Hammock Velvetseed,Rubiaceae,native
9,Guettarda scabra,Rough Velvetseed,Rubiaceae,native
10,Guzmania monostachia,West Indian Tufted Airplant,Bromeliaceae,native
10,Gyminda latifolia,West Indian False Boxwood,Celastraceae,native
9,Gymnanthes lucida,Crabwood; Oysterwood,Euphorbiaceae,native
9,Gymnopogon ambiguus,Bearded Skeletongrass,Poaceae,native
10,Habenaria distans,Hammock False Rein Orchid,Orchidaceae,native
4,Habenaria floribunda,Toothpetal False Rein Orchid,Orchidaceae,native
8,Habenaria nivea,Snowy Orchid,Orchidaceae,native
7,Habenaria quinqueseta,Longhorn False Rein Orchid,Orchidaceae,native
7,Habenaria repens,Waterspider False Rein Orchid,Orchidaceae,native
6,Halodule wrightii,Shoalweed,Cymodoceaceae,native
7,Halophila decipiens,Caribbean seagrass,Hydrocharitaceae,native
8,Halophila decipiens,Caribbean Seagrass,Hydrocharitaceae,native
7,Halophila engelmannii,Engelmann's seagrass,Hydrocharitaceae,native
8,Halophila engelmannii,Engelmann's Seagrass,Hydrocharitaceae,native
6,Halophila johnsonii,Johnson's seagrass,Hydrocharitaceae,native
4,Hamelia patens,Firebush,Rubiaceae,native
4,Harrisella porrecta,Needleroot Airplant Orchid,Orchidaceae,native
9,Harrisia aboriginum,Prickly Applecactus,Cactaceae,native
8,Harrisia simpsonii,Simpson's Applecactus,Cactaceae,native
1,Helenium amarum,Spanish Daisy; Bitterweed,Onagraceae,native
2,Helenium flexuosum,Purplehead Sneezeweed,Asteraceae,native
8,Helenium pinnatifidum,Southeastern Sneezeweed,Asteraceae,native
3,Helianthemum corymbosum,Pinebarren Frostweed,Cistaceae,native
5,Helianthemum nashii,Florida Scrub Frostweed,Cistaceae,native
6,Helianthus agrestis,Southeastern Sunflower,Asteraceae,native
6,Helianthus angustifolius,Narrowleaf Sunflower; Swamp Sunflower,Asteraceae,native
4,Helianthus debilis,East Coast Dune Sunflower,Asteraceae,native
4,Helianthus debilis subsp. vestitus,West Coast Dune Sunflower,Asteraceae,native
6,Helianthus radula,Stiff Sunflower,Asteraceae,native
2,Heliotropium angiospermum,Scorpionstail,Boraginaceae,native
2,Heliotropium curassavicum,Seaside Heliotrope; Salt Heliotrope,Boraginaceae,native
3,Heliotropium polyphyllum,Pineland Heliotrope,Boraginaceae,native
3,Herissantia crispa,Bladdermallow,Malvaceae,native
1,Heteropogon contortus,Tanglehead,Asteraceae,native
1,Heteropogon melanocarpus,Sweet Tanglehead,Poaceae,native
1,Heterotheca subaxillaris,Camphorweed,Poaceae,native
10,Hexalectris spicata,Spiked Crested Coralroot,Orchidaceae,native
8,Hibiscus coccineus,Scarlet Rosemallow,Malvaceae,native
1,Hibiscus furcellatus,Lindenleaf Rosemallow,Asteraceae,native
5,Hibiscus grandiflorus,Swamp Rosemallow,Malvaceae,native
9,Hibiscus poeppigii,Poeppig's Rosemallow,Malvaceae,native
8,Hieracium megacephalon,Coastalplain Hawkweed,Asteraceae,native
9,Hippocratea volubilis,Medicine Vine,Celastraceae,native
9,Hippomane mancinella,Manchineel,Euphorbiaceae,native
6,Houstonia procumbens,Innocence; Roundleaf Bluet,Rubiaceae,native
10,Huperzia dichotoma,Hanging Club-Moss,Lycopodiaceae,native
4,Hydrocotyle umbellata,Manyflower Marshpennywort,Araliaceae,native
7,Hydrolea corymbosa,Skyflower,Hydroleaceae,native
7,Hymenocallis latifolia,Mangrove Spiderlily; Perfumed Spiderlily,Amaryllidaceae,native
9,Hymenocallis palmeri,Alligatorlily,Amaryllidaceae,native
8,Hymenocallis tridentata,Florida Spiderlily,Amaryllidaceae,native
10,Hypelate trifoliata,White Ironwood,Sapindaceae,native
7,Hypericum brachyphyllum,Coastalplain St.John's-Wort,Clusiaceae,native
7,Hypericum cistifolium,Roundpod St.John's-Wort,Clusiaceae,native
7,Hypericum crux-andreae,St.Peter's-Wort,Clusiaceae,native
5,Hypericum edisonianum,Arcadian St.John's-Wort; Edison Ascyrum,Clusiaceae,native
7,Hypericum fasciculatum,Sandweed; Peelbark St.John's-Wort,Clusiaceae,native
5,Hypericum gentianoides,Pineweeds; Orangegrass,Clusiaceae,native
7,Hypericum hypericoides,St.Andrew's-Cross,Clusiaceae,native
5,Hypericum mutilum,Dwarf St.John's-Wort,Clusiaceae,native
7,Hypericum myrtifolium,Myrtleleaf St.John's-Wort,Clusiaceae,native
7,Hypericum reductum,Atlantic St.John's-Wort,Clusiaceae,native
7,Hypericum tetrapetalum,Fourpetal St.John's-Wort,Clusiaceae,native
8,Hypoxis curtissii,Common Yellow Stargrass,Hypoxidaceae,native
8,Hypoxis juncea,Fringed Yellow Stargrass,Hypoxidaceae,native
8,Hypoxis sessilis,Glossyseed Yellow Stargrass,Hypoxidaceae,native
6,Hypoxis wrightii,Bristleseed Yellow Stargrass,Hypoxidaceae,native
5,Hyptis alata,Clustered Bushmint; Musky Mint,Lamiaceae,native
7,Ilex cassine,Dahoon,Aquifoliaceae,native
7,Ilex glabra,Inkberry; Gallberry,Aquifoliaceae,native
9,Ilex krugiana,Tawnyberry Holly; Krug's Holly,Aquifoliaceae,native
10,Ilex opaca,American Holly,Aquifoliaceae,native
8,Imperata brasiliensis,Brazilian Satintail,Poaceae,native
8,Indigofera caroliniana,Carolina Indigo,Fabaceae,native
2,Indigofera miniata var. florida,Florida Coastal Indigo,Fabaceae,native
6,Indigofera trita subsp. scabra,Florida Keys Indigo,Fabaceae,native
9,Ionopsis utricularioides,Delicate Violet Orchid,Orchidaceae,native
3,Ipomoea alba,Moonflowers; Tropical White Morning-Glory,Convolvulaceae,native
2,Ipomoea cordatotriloba,Tievine,Convolvulaceae,native
0,Ipomoea hederacea,Ivyleaf Morning-Glory,Convolvulaceae,native
0,Ipomoea hederifolia,Scarletcreeper,Convolvulaceae,native
9,Ipomoea imperati,Beach Morning-Glory,Convolvulaceae,native
2,Ipomoea indica var. acuminata,Oceanblue Morning-Glory,Convolvulaceae,native
10,Ipomoea microdactyla,Man-In-The-Ground,Convolvulaceae,native
4,Ipomoea pes-caprae subsp. brasiliensis,Railroad Vine; Bayhops,Convolvulaceae,native
6,Ipomoea sagittata,Saltmarsh Morning-Glory,Convolvulaceae,native
9,Ipomoea tenuissima,Rockland Morning-Glory,Convolvulaceae,native
3,Ipomoea violacea,Heavenlyblue Morning-Glory,Convolvulaceae,native
2,Iresine diffusa,Juba's Bush,Amaranthaceae,native
7,Iris hexagona,Dixie Iris; Prairie Iris,Iridaceae,native
6,Isoetes flaccida,Florida Quillwort,Isoetaceae,native
8,Itea virginica,Virginia Willow; Virginia Sweetspire,Iteaceae,native
8,Iva frutescens,Bigleaf Sumpweed,Asteraceae,native
5,Iva imbricata,Seacoast Marshelder,Asteraceae,native
8,Iva microcephala,Piedmont Marshelder,Asteraceae,native
7,Jacquemontia curtisii,Pineland Clustervine; Pineland Jacquemontia,Convolvulaceae,native
7,Jacquemontia pentanthos,Skyblue Clustervine,Convolvulaceae,native
9,Jacquemontia reclinata,Beach Clustervine; Beach Jacquemontia,Convolvulaceae,native
10,Jacquinia keyensis,Joewood,Theophrastaceae,native
5,Juncus effusus subsp. solutus,Soft Rush,Juncaceae,native
5,Juncus marginatus,Shore Rush; Grassleaf Rush,Juncaceae,native
4,Juncus megacephalus,Bighead Rush,Juncaceae,native
7,Juncus polycephalos,Manyhead Rush,Juncaceae,native
4,Juncus repens,Lesser Creeping Rush,Juncaceae,native
7,Juncus roemerianus,Needle Rush; Needlegrass Rush; Black Rush,Juncaceae,native
6,Juncus scirpoides,Needlepod Rush,Juncaceae,native
4,Juniperus virginiana,Red Cedar,Cupressaceae,native
8,Justicia angusta,Pineland Waterwillow,Acanthaceae,native
1,Kallstroemia maxima,Big Caltrop,Malvaceae,native
5,Koanophyllon villosum,Florida Shrub Thoroughwort,Asteraceae,native
5,Kosteletzkya depressa,White Fenrose; White Fen,Malvaceae,native
4,Kosteletzkya virginica,Virginia Saltmarsh Mallow,Malvaceae,native
9,Krugiodendron ferreum,Black Ironwood; Leadwood,Rhamnaceae,native
0,Kyllinga odorata,Fragrant Spikesedge,Cyperaceae,native
0,Kyllinga pumila,Low Spikesedge,Cyperaceae,native
6,Lachnanthes caroliana,Carolina Redroot,Haemodoraceae,native
8,Lachnocaulon anceps,Whitehead Bogbutton,Eriocaulaceae,native
8,Lachnocaulon beyrichianum,Southern Bogbutton,Eriocaulaceae,native
5,Lachnocaulon minus,Small's Bogbutton,Eriocaulaceae,native
7,Lactuca floridana,Woodland Lettuce,Asteraceae,native
2,Lactuca graminifolia,Grassleaf Lettuce,Asteraceae,native
4,Laguncularia racemosa,White Mangrove,Combretaceae,native
4,Lantana canescens,Hammock Shrubverbena,Verbenaceae,native
6,Lantana depressa,Rockland Shrubverbena; Pineland Lantana,Verbenaceae,native
5,Lantana involucrata,Buttonsage,Verbenaceae,native
9,Lasiacis divaricata,Smallcane; Florida Tibisee,Poaceae,native
7,Lechea cernua,Nodding Pinweed; Scrub Pinweed,Cistaceae,native
8,Lechea deckertii,Deckert's Pinweed,Cistaceae,native
7,Lechea divaricata,Drysand Pinweed; Spreading Pinweed,Cistaceae,native
7,Lechea sessiliflora,Pineland Pinweed,Cistaceae,native
7,Lechea torreyi,Piedmont Pinweed,Cistaceae,native
2,Leersia hexandra,Southern Cutgrass,Poaceae,native
4,Lemna aequinoctialis,Lesser Duckweed,Araceae,native
3,Lemna obscura,Little Duckweed,Araceae,native
4,Lemna valdiviana,Valdivia Duckweed,Araceae,native
10,Lepanthopsis melanantha,Tiny Orchid,Orchidaceae,native
0,Lepidium virginicum,Virginia Pepperweed,Brassicaceae,native
1,Leptochloa dubia,Green Sprangletop,Zygophyllaceae,native
3,Leptochloa fusca subsp. fascicularis,Bearded Sprangletop,Poaceae,native
1,Leptochloa virgata,Tropical Sprangletop,Poaceae,native
6,Liatris chapmanii,Chapman's Gayfeather,Asteraceae,native
8,Liatris garberi,Garber's Gayfeather,Asteraceae,native
8,Liatris gracilis,Slender Gayfeather,Asteraceae,native
7,Liatris spicata,Dense Gayfeather,Asteraceae,native
7,Liatris tenuifolia,Shortleaf Gayfeather,Asteraceae,native
8,Liatris tenuifolia var. quadriflora,Shortleaf Gayfeather,Asteraceae,native
4,Licania michauxii,Gopher Apple,Chrysobalanaceae,native
8,Licaria triandra,Pepperleaf Sweetwood; Licaria,Lauraceae,native
8,Lilium catesbaei,Catesby's Lily; Pine Lily,Liliaceae,native
5,Limnobium spongia,American Spongeplant; Frog's-Bit,Hydrocharitaceae,native
7,Limonium carolinianum,Carolina Sealavender,Plumbaginaceae,native
1,Linaria canadensis,Canadian Toadflax,Poaceae,native
2,Linaria floridana,Apalachicola Toadflax,Veronicaceae,native
4,Lindernia dubia,Moistbank Pimpernel,Veronicaceae,native
5,Lindernia dubia var. anagallidea,Yellowseed False Pimpernel,Veronicaceae,native
3,Lindernia grandiflora,Savannah False Pimpernel,Veronicaceae,native
1,Linum arenicola,Sand Flax,Veronicaceae,native
6,Linum carteri,Carter's Flax; Everglades Flax,Linaceae,native
4,Linum carteri var. smallii,Small's Flax,Linaceae,native
7,Linum floridanum,Florida Yellow Flax,Linaceae,native
7,Linum medium var. texanum,Stiff Yellow Flax,Linaceae,native
10,Liparis nervosa,Pantropical Widelip Orchid; Tall Twayblade,Orchidaceae,native
8,Lipocarpha maculata,American Halfchaff Sedge,Cyperaceae,native
7,Lipocarpha micrantha,Smallflower Halfchaff Sedge,Cyperaceae,native
8,Liquidambar styraciflua,Sweetgum,Altingiaceae,native
5,Lobelia feayana,Bay Lobelia,Campanulaceae,native
7,Lobelia glandulosa,Glade Lobelia,Campanulaceae,native
2,Lobelia homophylla,Pineland Lobelia,Campanulaceae,native
7,Lobelia paludosa,White Lobelia,Campanulaceae,native
10,Lomariopsis kunzeana,Holly Vine Fern; Climbing Holly-Fern,Lomariopsidaceae,native
5,Ludwigia alata,Winged Primrosewillow,Onagraceae,native
4,Ludwigia arcuata,Piedmont Primrosewillow,Onagraceae,native
6,Ludwigia curtissii,Curtiss' Primrosewillow,Onagraceae,native
7,Ludwigia decurrens,Wingleaf Primrosewillow,Onagraceae,native
4,Ludwigia erecta,Yerba De Jicotea,Onagraceae,native
3,Ludwigia leptocarpa,Anglestem Primrosewillow,Onagraceae,native
6,Ludwigia linifolia,Southeastern Primrosewillow,Onagraceae,native
6,Ludwigia maritima,Seaside Primrosewillow,Onagraceae,native
3,Ludwigia microcarpa,Smallfruit Primrosewillow,Onagraceae,native
2,Ludwigia octovalvis,Mexican Primrosewillow,Onagraceae,native
8,Ludwigia pilosa,Hairy Primrosewillow,Onagraceae,native
4,Ludwigia repens,Creeping Primrosewillow,Onagraceae,native
7,Ludwigia suffruticosa,Shrubby Primrosewillow,Onagraceae,native
7,Lupinus diffusus,Skyblue Lupine,Fabaceae,native
2,Luziola fluitans,Southern Watergrass,Poaceae,native
8,Lycium carolinianum,Christmasberry; Carolina Desert-Thorn,Solanaceae,native
8,Lycopodiella appressa,Southern Club-Moss,Lycopodiaceae,native
7,Lycopodiella caroliniana,Slender Club-Moss,Lycopodiaceae,native
4,Lycopodiella cernua,Nodding Club-Moss; Staghorn Club-Moss,Lycopodiaceae,native
8,Lycopus rubellus,Taperleaf Waterhorehound,Lamiaceae,native
7,Lygodesmia aphylla,Rose-Rush,Asteraceae,native
8,Lyonia ferruginea,Rusty Staggerbush,Ericaceae,native
7,Lyonia fruticosa,Coastalplain Staggerbush,Ericaceae,native
7,Lyonia lucida,Fetterbush,Ericaceae,native
5,Lysiloma latisiliquum,False Tamarind,Fabaceae,native
3,Lythrum alatum var. lanceolatum,Winged Loosestrife,Lythraceae,native
3,Lythrum flagellare,Florida Loosestrife; Lowland Loosestrife,Lythraceae,native
3,Lythrum lineare,Wand Loosestrife,Lythraceae,native
10,Macradenia lutescens,Longgland Orchid; Trinidad Macradenia,Orchidaceae,native
8,Magnolia virginiana,Sweetbay,Magnoliaceae,native
2,Malachra fasciata,Roadside Leafbract,Malvaceae,native
10,Malaxis spicata,Florida Addersmouth Orchid,Orchidaceae,native
1,Malvastrum corchorifolium,False Mallow,Linaceae,native
9,Manilkara jaimiqui subsp. emarginata,Wild Dilly,Sapotaceae,native
9,Marshallia graminifolia,Grassleaf Barbara's Buttons,Asteraceae,native
10,Matelea floridana,Florida Milkvine; Florida Spiny Pod,Apocynaceae,native
10,Maxillaria crassifolia,Hidden Orchid,Orchidaceae,native
10,Maxillaria parviflora,Purple Tiger Orchid; Minnie-Max,Orchidaceae,native
9,Maytenus phyllanthoides,Florida Mayten,Celastraceae,native
7,Mecardonia acuminata subsp. peninsularis,Axilflower,Veronicaceae,native
5,Mecardonia procumbens,Baby Jumpup,Veronicaceae,native
6,Melanthera angustifolia,,Asteraceae,native
4,Melanthera nivea,Snow Squarestem,Asteraceae,native
6,Melanthera parvifolia,,Asteraceae,native
2,Melochia pyramidata,Pyramidflower,Malvaceae,native
6,Melochia spicata,Bretonica Peluda,Malvaceae,native
2,Melochia tomentosa,Woolly Pyramidflower; Teabush; Broomwood,Malvaceae,native
2,Melothria pendula,Creeping Cucumber,Cucurbitaceae,native
4,Mentzelia floridana,Poorman's Patch; Stickleaf,Loasaceae,native
4,Metopium toxiferum,Florida Poisontree; Poisonwood,Anacardiaceae,native
4,Micranthemum glomeratum,Manatee Mudflower,Veronicaceae,native
2,Micranthemum umbrosum,Shade Mudflower,Veronicaceae,native
10,Microgramma heterophylla,Climbing Vine Fern,Polypodiaceae,native
6,Micromeria brownei var. pilosiuscula,Browne's Savory,Lamiaceae,native
7,Mikania cordifolia,Florida Keys Hempvine,Asteraceae,native
3,Mikania scandens,Climbing Hempvine,Asteraceae,native
4,Mimosa quadrivalvis var. angustata,Sensitive Brier,Fabaceae,native
4,Mimosa quadrivalvis var. floridana,Florida Sensitive Brier,Fabaceae,native
0,Mimosa strigillosa,Powderpuff,Fabaceae,native
10,Mitchella repens,Partridgeberry; Twinberry,Rubiaceae,native
4,Mitreola petiolata,Lax Hornpod,Loganiaceae,native
7,Mitreola sessilifolia,Swamp Hornpod,Loganiaceae,native
10,Monanthochloe littoralis,Shoregrass; Keygrass,Poaceae,native
4,Monarda punctata,Spotted Beebalm,Lamiaceae,native
10,Monotropa uniflora,Indianpipe,Ericaceae,native
4,Morinda royoc,Redgal,Rubiaceae,native
8,Morus rubra,Red Mulberry,Moraceae,native
9,Mosiera longipes,Mangroveberry,Myrtaceae,native
1,Mucuna sloanei,Horseeye Bean,Malvaceae,native
7,Muhlenbergia capillaris,Hairawn Muhly,Poaceae,native
7,Muhlenbergia capillaris var. filipes,Gulf Hairawn Muhle,Poaceae,native
0,Muhlenbergia schreberi,Nimblewill Muhly,Poaceae,native
4,Myrcianthes fragrans,Twinberry; Simpson's Stopper,Myrtaceae,native
4,Myrica cerifera,Southern Bayberry; Wax Myrtle,Myricaceae,native
2,Myriophyllum heterophyllum,Twoleaf Watermilfoil,Haloragaceae,native
3,Najas guadalupensis,Southern Waternymph,Hydrocharitaceae,native
4,Nelumbo lutea,American Lotus,Nelumbonaceae,native
10,Nemastylis floridana,Celestial Lily; Fallflowering Ixia,Iridaceae,native
7,Nephrolepis biserrata,Giant Sword Fern,Nephrolepidaceae,native
4,Nephrolepis exaltata,Sword Fern; Wild Boston Fern,Nephrolepidaceae,native
3,Neptunia pubescens,Tropical Puff,Fabaceae,native
10,Nevrodium lanceolatum,Ribbon Fern,Polypodiaceae,native
10,Nolina atopocarpa,Florida Beargrass,Ruscaceae,native
2,Nothoscordum bivalve,Crowpoison; False Garlic,Alliaceae,native
4,Nuphar advena,Spatterdock; Yellow Pondlily,Nymphaeaceae,native
4,Nymphaea elegans,Tropical Royalblue Waterlily,Nymphaeaceae,native
7,Nymphaea jamesoniana,Jameson's Waterlily; Nightblooming Waterlily,Nymphaeaceae,native
4,Nymphaea mexicana,Yellow Waterlily,Nymphaeaceae,native
4,Nymphaea odorata,American White Waterlily,Nymphaeaceae,native
5,Nymphoides aquatica,Big Floatingheart,Menyanthaceae,native
9,Nyssa sylvatica var. biflora,Swamp Tupelo,Cornaceae,native
8,Ocimum campechianum,Wild Sweet Basil,Lamiaceae,native
7,Oclemena reticulata,Whitetop Aster; Pinebarren Aster,Asteraceae,native
8,Ocotea coriacea,Lancewood,Lauraceae,native
4,Odontosoria clavata,Wedgelet Fern,Dennstaedtiaceae,native
0,Oenothera biennis,Common Eveningprimrose,Onagraceae,native
4,Oenothera humifusa,Seabeach Eveningprimrose,Onagraceae,native
0,Oenothera laciniata,Cutleaf Eveningprimrose,Onagraceae,native
5,Okenia hypogaea,Burrowing Four-O'clock; Beach Peanut,Nyctaginaceae,native
4,Oldenlandia uniflora,Clustered Mille Graines,Rubiaceae,native
10,Oncidium ensatum,Florida Dancinglady Orchid,Orchidaceae,native
5,Ophioglossum crotalophoroides,Bulbous Adder's Tongue,Ophioglossaceae,native
7,Ophioglossum palmatum,Hand Fern,Ophioglossaceae,native
4,Ophioglossum petiolatum,Stalked Adder's Tongue,Ophioglossaceae,native
4,Oplismenus hirtellus,Woodsgrass; Basketgrass,Poaceae,native
8,Opuntia corallicola,Semaphore Pricklypear; Semaphore Cactus,Cactaceae,native
6,Opuntia humifusa,Pricklypear,Cactaceae,native
5,Opuntia stricta,Erect Pricklypear; Shell-Mound Pricklypear,Cactaceae,native
10,Orontium aquaticum,Goldenclub; Neverwet,Araceae,native
8,Osmunda cinnamomea,Cinnamon Fern,Osmundaceae,native
7,Osmunda regalis var. spectabilis,Royal Fern,Osmundaceae,native
1,Oxalis corniculata,Common Yellow Woodsorrel,Fabaceae,native
7,Oxypolis filiformis,Water Cowbane,Apiaceae,native
4,Packera glabella,Butterweed,Asteraceae,native
7,Palafoxia feayi,Feay's Palafox,Asteraceae,native
8,Palafoxia integrifolia,Coastalplain Palafox,Asteraceae,native
9,Panicum abscissum,Cutthroatgrass,Poaceae,native
8,Panicum amarum,Bitter Panicgrass,Poaceae,native
7,Panicum anceps,Beaked Panicum,Poaceae,native
1,Panicum dichotomiflorum,Fall Panicgrass,Oxalidaceae,native
2,Panicum dichotomiflorum var. bartowense,Fall Panicgrass,Poaceae,native
4,Panicum hemitomon,Maidencane,Poaceae,native
6,Panicum hians,Gaping Panicum,Poaceae,native
6,Panicum rigidulum,Redtop Panicum,Poaceae,native
7,Panicum tenerum,Bluejoint Panicum,Poaceae,native
